phase,client_observed_ms,server_internal_ms,socket_transfer_overhead_ms,status,decision,reason_code
warmup,3.888,2.000,1.888,200,ALLOW,OK_ALLOW
warmup,4.186,2.000,2.186,200,ALLOW,OK_ALLOW
warmup,3.773,1.000,2.773,200,ALLOW,OK_ALLOW
warmup,3.805,1.000,2.805,200,ALLOW,OK_ALLOW
warmup,3.740,1.000,2.740,200,ALLOW,OK_ALLOW
warmup,3.665,1.000,2.665,200,ALLOW,OK_ALLOW
warmup,3.654,1.000,2.654,200,ALLOW,OK_ALLOW
warmup,3.418,1.000,2.418,200,ALLOW,OK_ALLOW
warmup,3.385,1.000,2.385,200,ALLOW,OK_ALLOW
warmup,3.386,1.000,2.386,200,ALLOW,OK_ALLOW
warmup,3.410,1.000,2.410,200,ALLOW,OK_ALLOW
warmup,3.595,1.000,2.595,200,ALLOW,OK_ALLOW
warmup,3.842,2.000,1.842,200,ALLOW,OK_ALLOW
warmup,4.028,2.000,2.028,200,ALLOW,OK_ALLOW
warmup,4.095,2.000,2.095,200,ALLOW,OK_ALLOW
warmup,4.462,3.000,1.462,200,ALLOW,OK_ALLOW
warmup,4.389,2.000,2.389,200,ALLOW,OK_ALLOW
warmup,4.273,2.000,2.273,200,ALLOW,OK_ALLOW
warmup,4.437,2.000,2.437,200,ALLOW,OK_ALLOW
warmup,4.257,2.000,2.257,200,ALLOW,OK_ALLOW
warmup,4.418,2.000,2.418,200,ALLOW,OK_ALLOW
warmup,4.044,2.000,2.044,200,ALLOW,OK_ALLOW
warmup,4.306,2.000,2.306,200,ALLOW,OK_ALLOW
warmup,4.064,1.000,3.064,200,ALLOW,OK_ALLOW
warmup,3.649,1.000,2.649,200,ALLOW,OK_ALLOW
warmup,3.574,1.000,2.574,200,ALLOW,OK_ALLOW
warmup,3.624,1.000,2.624,200,ALLOW,OK_ALLOW
warmup,3.717,1.000,2.717,200,ALLOW,OK_ALLOW
warmup,3.869,1.000,2.869,200,ALLOW,OK_ALLOW
warmup,3.791,1.000,2.791,200,ALLOW,OK_ALLOW
warmup,3.945,1.000,2.945,200,ALLOW,OK_ALLOW
warmup,4.018,1.000,3.018,200,ALLOW,OK_ALLOW
warmup,4.182,1.000,3.182,200,ALLOW,OK_ALLOW
warmup,4.109,1.000,3.109,200,ALLOW,OK_ALLOW
warmup,3.834,1.000,2.834,200,ALLOW,OK_ALLOW
warmup,3.997,1.000,2.997,200,ALLOW,OK_ALLOW
warmup,4.229,1.000,3.229,200,ALLOW,OK_ALLOW
warmup,4.383,1.000,3.383,200,ALLOW,OK_ALLOW
warmup,4.737,1.000,3.737,200,ALLOW,OK_ALLOW
warmup,4.803,1.000,3.803,200,ALLOW,OK_ALLOW
warmup,4.885,2.000,2.885,200,ALLOW,OK_ALLOW
warmup,4.676,1.000,3.676,200,ALLOW,OK_ALLOW
warmup,4.339,1.000,3.339,200,ALLOW,OK_ALLOW
warmup,4.192,1.000,3.192,200,ALLOW,OK_ALLOW
warmup,3.758,1.000,2.758,200,ALLOW,OK_ALLOW
warmup,3.793,1.000,2.793,200,ALLOW,OK_ALLOW
warmup,4.006,2.000,2.006,200,ALLOW,OK_ALLOW
warmup,4.227,2.000,2.227,200,ALLOW,OK_ALLOW
warmup,3.588,2.000,1.588,200,ALLOW,OK_ALLOW
warmup,4.619,2.000,2.619,200,ALLOW,OK_ALLOW
warmup,3.815,2.000,1.815,200,ALLOW,OK_ALLOW
warmup,4.063,2.000,2.063,200,ALLOW,OK_ALLOW
warmup,4.190,2.000,2.190,200,ALLOW,OK_ALLOW
warmup,3.987,2.000,1.987,200,ALLOW,OK_ALLOW
warmup,3.982,2.000,1.982,200,ALLOW,OK_ALLOW
warmup,3.957,2.000,1.957,200,ALLOW,OK_ALLOW
warmup,3.636,2.000,1.636,200,ALLOW,OK_ALLOW
warmup,3.452,2.000,1.452,200,ALLOW,OK_ALLOW
warmup,3.378,2.000,1.378,200,ALLOW,OK_ALLOW
warmup,4.479,2.000,2.479,200,ALLOW,OK_ALLOW
warmup,4.565,2.000,2.565,200,ALLOW,OK_ALLOW
warmup,4.625,2.000,2.625,200,ALLOW,OK_ALLOW
warmup,4.732,2.000,2.732,200,ALLOW,OK_ALLOW
warmup,4.797,3.000,1.797,200,ALLOW,OK_ALLOW
warmup,5.571,2.000,3.571,200,ALLOW,OK_ALLOW
warmup,4.518,1.000,3.518,200,ALLOW,OK_ALLOW
warmup,4.467,2.000,2.467,200,ALLOW,OK_ALLOW
warmup,4.374,2.000,2.374,200,ALLOW,OK_ALLOW
warmup,4.365,2.000,2.365,200,ALLOW,OK_ALLOW
warmup,4.114,2.000,2.114,200,ALLOW,OK_ALLOW
warmup,3.559,2.000,1.559,200,ALLOW,OK_ALLOW
warmup,3.594,1.000,2.594,200,ALLOW,OK_ALLOW
warmup,3.726,2.000,1.726,200,ALLOW,OK_ALLOW
warmup,3.725,2.000,1.725,200,ALLOW,OK_ALLOW
warmup,4.038,2.000,2.038,200,ALLOW,OK_ALLOW
warmup,4.131,2.000,2.131,200,ALLOW,OK_ALLOW
warmup,3.913,2.000,1.913,200,ALLOW,OK_ALLOW
warmup,3.847,2.000,1.847,200,ALLOW,OK_ALLOW
warmup,3.915,2.000,1.915,200,ALLOW,OK_ALLOW
warmup,4.108,2.000,2.108,200,ALLOW,OK_ALLOW
warmup,3.851,1.000,2.851,200,ALLOW,OK_ALLOW
warmup,3.756,1.000,2.756,200,ALLOW,OK_ALLOW
warmup,4.178,1.000,3.178,200,ALLOW,OK_ALLOW
warmup,4.635,1.000,3.635,200,ALLOW,OK_ALLOW
warmup,5.137,1.000,4.137,200,ALLOW,OK_ALLOW
warmup,5.045,1.000,4.045,200,ALLOW,OK_ALLOW
warmup,5.082,2.000,3.082,200,ALLOW,OK_ALLOW
warmup,6.721,3.000,3.721,200,ALLOW,OK_ALLOW
warmup,5.313,1.000,4.313,200,ALLOW,OK_ALLOW
warmup,5.080,1.000,4.080,200,ALLOW,OK_ALLOW
warmup,4.450,1.000,3.450,200,ALLOW,OK_ALLOW
warmup,3.895,1.000,2.895,200,ALLOW,OK_ALLOW
warmup,3.867,1.000,2.867,200,ALLOW,OK_ALLOW
warmup,3.852,1.000,2.852,200,ALLOW,OK_ALLOW
warmup,2.822,1.000,1.822,200,ALLOW,OK_ALLOW
warmup,3.977,1.000,2.977,200,ALLOW,OK_ALLOW
warmup,3.228,1.000,2.228,200,ALLOW,OK_ALLOW
