phase,client_observed_ms,server_internal_ms,socket_transfer_overhead_ms,status,decision,reason_code
warmup,112.060,2.000,110.060,200,ALLOW,OK_ALLOW
warmup,111.671,1.000,110.671,200,ALLOW,OK_ALLOW
warmup,109.159,1.000,108.159,200,ALLOW,OK_ALLOW
warmup,113.275,2.000,111.275,200,ALLOW,OK_ALLOW
warmup,111.774,2.000,109.774,200,ALLOW,OK_ALLOW
warmup,112.029,1.000,111.029,200,ALLOW,OK_ALLOW
warmup,112.202,1.000,111.202,200,ALLOW,OK_ALLOW
warmup,111.955,1.000,110.955,200,ALLOW,OK_ALLOW
warmup,111.901,1.000,110.901,200,ALLOW,OK_ALLOW
warmup,111.832,1.000,110.832,200,ALLOW,OK_ALLOW
warmup,112.330,1.000,111.330,200,ALLOW,OK_ALLOW
warmup,112.450,1.000,111.450,200,ALLOW,OK_ALLOW
warmup,112.681,1.000,111.681,200,ALLOW,OK_ALLOW
warmup,112.684,1.000,111.684,200,ALLOW,OK_ALLOW
warmup,112.466,1.000,111.466,200,ALLOW,OK_ALLOW
warmup,112.077,2.000,110.077,200,ALLOW,OK_ALLOW
warmup,109.523,1.000,108.523,200,ALLOW,OK_ALLOW
warmup,110.121,1.000,109.121,200,ALLOW,OK_ALLOW
warmup,110.160,1.000,109.160,200,ALLOW,OK_ALLOW
warmup,107.352,1.000,106.352,200,ALLOW,OK_ALLOW
warmup,112.103,2.000,110.103,200,ALLOW,OK_ALLOW
warmup,108.773,1.000,107.773,200,ALLOW,OK_ALLOW
warmup,108.617,1.000,107.617,200,ALLOW,OK_ALLOW
warmup,109.013,1.000,108.013,200,ALLOW,OK_ALLOW
warmup,109.451,1.000,108.451,200,ALLOW,OK_ALLOW
warmup,107.348,1.000,106.348,200,ALLOW,OK_ALLOW
warmup,111.348,2.000,109.348,200,ALLOW,OK_ALLOW
warmup,108.191,1.000,107.191,200,ALLOW,OK_ALLOW
warmup,105.671,1.000,104.671,200,ALLOW,OK_ALLOW
warmup,109.762,1.000,108.762,200,ALLOW,OK_ALLOW
warmup,107.581,1.000,106.581,200,ALLOW,OK_ALLOW
warmup,107.956,1.000,106.956,200,ALLOW,OK_ALLOW
warmup,108.179,2.000,106.179,200,ALLOW,OK_ALLOW
warmup,108.234,2.000,106.234,200,ALLOW,OK_ALLOW
warmup,108.199,2.000,106.199,200,ALLOW,OK_ALLOW
warmup,108.294,2.000,106.294,200,ALLOW,OK_ALLOW
warmup,108.307,2.000,106.307,200,ALLOW,OK_ALLOW
warmup,108.328,2.000,106.328,200,ALLOW,OK_ALLOW
warmup,110.253,1.000,109.253,200,ALLOW,OK_ALLOW
warmup,110.227,1.000,109.227,200,ALLOW,OK_ALLOW
warmup,108.300,1.000,107.300,200,ALLOW,OK_ALLOW
warmup,112.341,2.000,110.341,200,ALLOW,OK_ALLOW
warmup,109.914,1.000,108.914,200,ALLOW,OK_ALLOW
warmup,107.572,1.000,106.572,200,ALLOW,OK_ALLOW
warmup,112.167,1.000,111.167,200,ALLOW,OK_ALLOW
warmup,110.230,1.000,109.230,200,ALLOW,OK_ALLOW
warmup,109.946,1.000,108.946,200,ALLOW,OK_ALLOW
warmup,101.676,0.000,101.676,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,101.435,0.000,101.435,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,115.169,2.000,113.169,200,ALLOW,OK_ALLOW
warmup,115.266,2.000,113.266,200,ALLOW,OK_ALLOW
warmup,119.273,2.000,117.273,200,ALLOW,OK_ALLOW
warmup,123.606,2.000,121.606,200,ALLOW,OK_ALLOW
warmup,110.249,1.000,109.249,200,ALLOW,OK_ALLOW
warmup,109.839,1.000,108.839,200,ALLOW,OK_ALLOW
warmup,106.839,1.000,105.839,200,ALLOW,OK_ALLOW
warmup,111.053,1.000,110.053,200,ALLOW,OK_ALLOW
warmup,96.989,0.000,96.989,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.927,0.000,96.927,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.698,0.000,96.698,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.386,0.000,96.386,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.492,0.000,96.492,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,115.678,3.000,112.678,200,ALLOW,OK_ALLOW
warmup,115.281,3.000,112.281,200,ALLOW,OK_ALLOW
warmup,115.193,3.000,112.193,200,ALLOW,OK_ALLOW
warmup,115.158,3.000,112.158,200,ALLOW,OK_ALLOW
warmup,104.229,1.000,103.229,200,ALLOW,OK_ALLOW
warmup,104.398,1.000,103.398,200,ALLOW,OK_ALLOW
warmup,103.620,1.000,102.620,200,ALLOW,OK_ALLOW
warmup,103.950,1.000,102.950,200,ALLOW,OK_ALLOW
warmup,96.401,0.000,96.401,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.458,0.000,96.458,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.390,0.000,96.390,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.460,0.000,96.460,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,112.683,2.000,110.683,200,ALLOW,OK_ALLOW
warmup,112.418,2.000,110.418,200,ALLOW,OK_ALLOW
warmup,112.224,2.000,110.224,200,ALLOW,OK_ALLOW
warmup,112.417,2.000,110.417,200,ALLOW,OK_ALLOW
warmup,106.126,1.000,105.126,200,ALLOW,OK_ALLOW
warmup,106.073,1.000,105.073,200,ALLOW,OK_ALLOW
warmup,105.674,1.000,104.674,200,ALLOW,OK_ALLOW
warmup,105.044,1.000,104.044,200,ALLOW,OK_ALLOW
warmup,104.941,1.000,103.941,200,ALLOW,OK_ALLOW
warmup,104.934,2.000,102.934,200,ALLOW,OK_ALLOW
warmup,102.807,1.000,101.807,200,ALLOW,OK_ALLOW
warmup,107.485,2.000,105.485,200,ALLOW,OK_ALLOW
warmup,105.222,2.000,103.222,200,ALLOW,OK_ALLOW
warmup,105.399,1.000,104.399,200,ALLOW,OK_ALLOW
warmup,105.897,1.000,104.897,200,ALLOW,OK_ALLOW
warmup,115.168,1.000,114.168,200,ALLOW,OK_ALLOW
warmup,110.251,2.000,108.251,200,ALLOW,OK_ALLOW
warmup,110.435,2.000,108.435,200,ALLOW,OK_ALLOW
warmup,110.691,2.000,108.691,200,ALLOW,OK_ALLOW
warmup,111.067,2.000,109.067,200,ALLOW,OK_ALLOW
warmup,102.327,0.000,102.327,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,102.311,0.000,102.311,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,114.774,2.000,112.774,200,ALLOW,OK_ALLOW
warmup,111.048,2.000,109.048,200,ALLOW,OK_ALLOW
warmup,117.340,2.000,115.340,200,ALLOW,OK_ALLOW
warmup,118.073,2.000,116.073,200,ALLOW,OK_ALLOW
warmup,106.454,1.000,105.454,200,ALLOW,OK_ALLOW
warmup,105.163,2.000,103.163,200,ALLOW,OK_ALLOW
warmup,105.179,2.000,103.179,200,ALLOW,OK_ALLOW
warmup,96.683,0.000,96.683,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.222,0.000,96.222,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,95.906,0.000,95.906,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,111.487,2.000,109.487,200,ALLOW,OK_ALLOW
warmup,111.189,2.000,109.189,200,ALLOW,OK_ALLOW
warmup,111.131,2.000,109.131,200,ALLOW,OK_ALLOW
warmup,111.309,2.000,109.309,200,ALLOW,OK_ALLOW
warmup,103.623,1.000,102.623,200,ALLOW,OK_ALLOW
warmup,104.529,1.000,103.529,200,ALLOW,OK_ALLOW
warmup,104.463,1.000,103.463,200,ALLOW,OK_ALLOW
warmup,104.360,1.000,103.360,200,ALLOW,OK_ALLOW
warmup,104.006,1.000,103.006,200,ALLOW,OK_ALLOW
warmup,104.236,1.000,103.236,200,ALLOW,OK_ALLOW
warmup,104.308,1.000,103.308,200,ALLOW,OK_ALLOW
warmup,103.962,1.000,102.962,200,ALLOW,OK_ALLOW
warmup,103.728,1.000,102.728,200,ALLOW,OK_ALLOW
warmup,103.706,1.000,102.706,200,ALLOW,OK_ALLOW
warmup,103.933,1.000,102.933,200,ALLOW,OK_ALLOW
warmup,104.215,1.000,103.215,200,ALLOW,OK_ALLOW
warmup,104.888,1.000,103.888,200,ALLOW,OK_ALLOW
warmup,104.992,1.000,103.992,200,ALLOW,OK_ALLOW
warmup,105.348,1.000,104.348,200,ALLOW,OK_ALLOW
warmup,105.509,1.000,104.509,200,ALLOW,OK_ALLOW
warmup,105.508,1.000,104.508,200,ALLOW,OK_ALLOW
warmup,105.378,1.000,104.378,200,ALLOW,OK_ALLOW
warmup,105.270,1.000,104.270,200,ALLOW,OK_ALLOW
warmup,105.265,1.000,104.265,200,ALLOW,OK_ALLOW
warmup,105.274,1.000,104.274,200,ALLOW,OK_ALLOW
warmup,106.115,1.000,105.115,200,ALLOW,OK_ALLOW
warmup,106.265,1.000,105.265,200,ALLOW,OK_ALLOW
warmup,110.853,1.000,109.853,200,ALLOW,OK_ALLOW
warmup,110.966,1.000,109.966,200,ALLOW,OK_ALLOW
warmup,111.280,1.000,110.280,200,ALLOW,OK_ALLOW
warmup,111.383,1.000,110.383,200,ALLOW,OK_ALLOW
warmup,111.860,1.000,110.860,200,ALLOW,OK_ALLOW
warmup,112.426,2.000,110.426,200,ALLOW,OK_ALLOW
warmup,113.089,2.000,111.089,200,ALLOW,OK_ALLOW
warmup,113.334,2.000,111.334,200,ALLOW,OK_ALLOW
warmup,113.793,1.000,112.793,200,ALLOW,OK_ALLOW
warmup,113.142,1.000,112.142,200,ALLOW,OK_ALLOW
warmup,114.135,1.000,113.135,200,ALLOW,OK_ALLOW
warmup,116.839,1.000,115.839,200,ALLOW,OK_ALLOW
warmup,116.313,1.000,115.313,200,ALLOW,OK_ALLOW
warmup,116.100,2.000,114.100,200,ALLOW,OK_ALLOW
warmup,115.525,2.000,113.525,200,ALLOW,OK_ALLOW
warmup,111.919,2.000,109.919,200,ALLOW,OK_ALLOW
warmup,117.125,3.000,114.125,200,ALLOW,OK_ALLOW
warmup,114.585,1.000,113.585,200,ALLOW,OK_ALLOW
warmup,114.405,1.000,113.405,200,ALLOW,OK_ALLOW
warmup,111.923,1.000,110.923,200,ALLOW,OK_ALLOW
warmup,116.005,2.000,114.005,200,ALLOW,OK_ALLOW
